eeschema (2010-05-05 BZR 2356)-stable  >> Creation date: 01/10/11 18:07:10

#Cmp ( order = Value )
| 100          R1        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D02     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D03     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D04     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D05     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D06     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D07     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D08     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D09     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D10     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D11     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D12     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D13     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D14     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D15     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          11D16     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D01     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D02     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D03     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D04     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D05     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D06     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D07     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D08     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D09     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D10     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D11     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D12     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D13     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D14     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D15     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED          12D16     ; LED_10MM_BLUE;             ;             ;             ;             ;             ;             ;             ;             
| LED_ENABLE   K2        ; pin_strip_3 ;             ;             ;             ;             ;             ;             ;             ;             
